,Month,Sales,months,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep,t,t_squared,log_Sales
0,Jan-49,742,Jan,0,0,0,0,1,0,0,0,0,0,0,0,1,1,6.60934924316738
1,Feb-49,697,Feb,0,0,0,1,0,0,0,0,0,0,0,0,2,4,6.546785410760524
2,Mar-49,776,Mar,0,0,0,0,0,0,0,1,0,0,0,0,3,9,6.654152520183219
3,Apr-49,898,Apr,1,0,0,0,0,0,0,0,0,0,0,0,4,16,6.8001700683022
4,May-49,1030,May,0,0,0,0,0,0,0,0,1,0,0,0,5,25,6.937314081223682
5,Jun-49,1107,Jun,0,0,0,0,0,0,1,0,0,0,0,0,6,36,7.009408932708637
6,Jul-49,1165,Jul,0,0,0,0,0,1,0,0,0,0,0,0,7,49,7.060476365999801
7,Aug-49,1216,Aug,0,1,0,0,0,0,0,0,0,0,0,0,8,64,7.103322062526113
8,Sep-49,1208,Sep,0,0,0,0,0,0,0,0,0,0,0,1,9,81,7.0967213784947605
9,Oct-49,1131,Oct,0,0,0,0,0,0,0,0,0,0,1,0,10,100,7.030857476116121
10,Nov-49,971,Nov,0,0,0,0,0,0,0,0,0,1,0,0,11,121,6.878326468291325
11,Dec-49,783,Dec,0,0,1,0,0,0,0,0,0,0,0,0,12,144,6.663132695990803
12,Jan-50,741,Jan,0,0,0,0,1,0,0,0,0,0,0,0,13,169,6.608000625296087
13,Feb-50,700,Feb,0,0,0,1,0,0,0,0,0,0,0,0,14,196,6.551080335043404
14,Mar-50,774,Mar,0,0,0,0,0,0,0,1,0,0,0,0,15,225,6.651571873589727
15,Apr-50,932,Apr,1,0,0,0,0,0,0,0,0,0,0,0,16,256,6.837332814685591
16,May-50,1099,May,0,0,0,0,0,0,0,0,1,0,0,0,17,289,7.002155954403621
17,Jun-50,1223,Jun,0,0,0,0,0,0,1,0,0,0,0,0,18,324,7.109062135687172
18,Jul-50,1290,Jul,0,0,0,0,0,1,0,0,0,0,0,0,19,361,7.162397497355718
19,Aug-50,1349,Aug,0,1,0,0,0,0,0,0,0,0,0,0,20,400,7.207118856207756
20,Sep-50,1341,Sep,0,0,0,0,0,0,0,0,0,0,0,1,21,441,7.201170883281678
21,Oct-50,1296,Oct,0,0,0,0,0,0,0,0,0,0,1,0,22,484,7.16703787691222
22,Nov-50,1066,Nov,0,0,0,0,0,0,0,0,0,1,0,0,23,529,6.97166860472579
23,Dec-50,901,Dec,0,0,1,0,0,0,0,0,0,0,0,0,24,576,6.803505257608338
24,Jan-51,896,Jan,0,0,0,0,1,0,0,0,0,0,0,0,25,625,6.79794041297493
25,Feb-51,793,Feb,0,0,0,1,0,0,0,0,0,0,0,0,26,676,6.675823221634848
